Name,Type,Latitude,Longitude,Altitude,Neighbours
dc,CN,53.284079,-9.064358,5,NA
bck,SW,53.284079,-9.064358,6,NA
eng,SW,53.284079,-9.064358,7,NA
pre,SW,53.284846,-9.065986,8,NA
cai,SW,53.284327,-9.06578,9,NA
bio,SW,53.288446,-9.068327,10,NA
ila,SW,53.288745,-9.070678,11,NA
hut,SW,53.289987,-9.071162,12,NA
pgw,CN,53.284079,-9.064358,13,NA
sgw,CN,53.284079,-9.064358,14,NA
mme,CN,53.284079,-9.064358,15,NA
wwNodeB,BS,53.289234,-9.074402,16,bck
engNodeB,BS,53.284079,-9.064358,17,bck
n1,SN,53.283749,-9.064412,18,eng
n2,SN,53.284137,-9.064636,19,eng
n3,SN,53.284463,-9.065709,20,cai
n4,SN,53.2848,-9.065869,21,cai
n5,SN,53.28588,-9.065381,22,n6
n6,SN,53.286675,-9.065595,23,n7
n7,SN,53.287105,-9.065465,24,n8
n8,SN,53.287852,-9.06554,25,n9
n9,SN,53.288326,-9.066644,26,bio
n10,SN,53.288084,-9.067083,27,bio
n11,SN,53.288562,-9.069924,28,ila
n12,SN,53.290004,-9.07112,29,hut
n13,SN,53.28981,-9.07128,30,hut
n14,SN,53.289916,-9.071754,31,hut
n15,SN,53.291237,-9.070954,32,hut
n16,SN,53.290351,-9.070955,33,hut
